combo,model,scaled,rmse,mae,r2,train_sec,infer_ms_per_sample
MLP scaled + RF unscaled,RF,False,4.370630886082563,3.084973234126975,0.9528943998250985,0.09889663700005258,0.7114508333327447
MLP scaled + RF unscaled,MLP,True,5.53372526007101,4.008367554985693,0.9244873924411696,0.28881773200009775,0.0038331388875829163
MLP scaled + RF scaled,RF,True,4.797239839129148,3.336493905423271,0.9432498329926847,0.09253549200002453,0.710807944440401
MLP scaled + RF scaled,MLP,True,5.53372526007101,4.008367554985693,0.9244873924411696,0.27891777800005,0.0038166944465148037
MLP unscaled + RF unscaled,RF,False,4.370630886082564,3.0849732341269744,0.9528943998250985,0.0918648970000504,0.7171330277818319
MLP unscaled + RF unscaled,MLP,False,5.339810367248423,4.052891506376952,0.9296869480453102,0.2804032470000948,0.0036603055504100565
MLP unscaled + RF scaled,RF,True,4.797239839129146,3.33649390542327,0.9432498329926847,0.09939254500000061,0.7111118888853222
MLP unscaled + RF scaled,MLP,False,5.339810367248423,4.052891506376952,0.9296869480453102,0.2886564919999728,0.0036101944450213828
